archivo,carrera,nivel,codigo
malla_materiales,MATERIALES,1,CSHD111
malla_materiales,MATERIALES,1,FISD134
malla_materiales,MATERIALES,1,ICOD111
malla_materiales,MATERIALES,1,MATD113
malla_materiales,MATERIALES,1,MATD123
malla_materiales,MATERIALES,1,QUID143
malla_materiales,MATERIALES,2,CSHD211
malla_materiales,MATERIALES,2,MATD213
malla_materiales,MATERIALES,2,MATD223
malla_materiales,MATERIALES,2,MECD213
malla_materiales,MATERIALES,2,MECD223
malla_materiales,MATERIALES,2,MECD242
malla_materiales,MATERIALES,3,CSHD400
malla_materiales,MATERIALES,3,MECD553
malla_materiales,MATERIALES,3,MTRD323
malla_materiales,MATERIALES,3,MTRD333
malla_materiales,MATERIALES,3,MTRD342
malla_materiales,MATERIALES,3,MTRD353
malla_materiales,MATERIALES,4,MTRD412
malla_materiales,MATERIALES,4,MTRD423
malla_materiales,MATERIALES,4,MTRD433
malla_materiales,MATERIALES,4,MTRD442
malla_materiales,MATERIALES,4,MTRD453
malla_materiales,MATERIALES,4,MTRD462
malla_materiales,MATERIALES,5,CSHD300
malla_materiales,MATERIALES,5,MECD362
malla_materiales,MATERIALES,5,MTRD513
malla_materiales,MATERIALES,5,MTRD522
malla_materiales,MATERIALES,5,MTRD532
malla_materiales,MATERIALES,5,MTRD543
malla_materiales,MATERIALES,5,MTRD552
malla_materiales,MATERIALES,6,ADMD511
malla_materiales,MATERIALES,6,MECD612
malla_materiales,MATERIALES,6,MTRD613
malla_materiales,MATERIALES,6,MTRD633
malla_materiales,MATERIALES,6,MTRD643
malla_materiales,MATERIALES,6,MTRD653
malla_materiales,MATERIALES,7,ADMD611
malla_materiales,MATERIALES,7,MTRD700
malla_materiales,MATERIALES,7,MTRD722
malla_materiales,MATERIALES,7,MTRD733
malla_materiales,MATERIALES,7,MTRD743
malla_materiales,MATERIALES,7,MTRD760
malla_materiales,MATERIALES,8,ADMD711
malla_materiales,MATERIALES,8,MTRD800
malla_materiales,MATERIALES,8,MTRD822
malla_materiales,MATERIALES,8,MTRD832
malla_materiales,MATERIALES,8,MTRD843
malla_materiales,MATERIALES,8,MTRD860
malla_materiales,MATERIALES,8,TITD101
malla_materiales,MATERIALES,9,MECD861
malla_materiales,MATERIALES,9,MTRD761
malla_materiales,MATERIALES,9,MTRD762
malla_materiales,MATERIALES,9,MTRD763
malla_materiales,MATERIALES,9,MTRD862
malla_materiales,MATERIALES,9,MTRD863
malla_materiales,MATERIALES,9,MTRD900
malla_materiales,MATERIALES,9,PRLD105
malla_materiales,MATERIALES,9,PSCD202
malla_materiales,MATERIALES,9,TITD201
