row_index,cls_dictadas
0,342
1,234
2,162
3,198
4,216
5,270
6,320
7,270
8,180
9,270
10,216
11,288
12,156
13,198
14,216
15,142
16,126
17,252
18,268
19,156
20,252
21,282
22,216
23,306
24,198
25,180
26,288
27,312
28,324
29,334
30,358
31,72
32,68
33,72
34,68
35,72
36,414
37,396
38,396
39,414
40,396
41,396
42,198
43,
44,162
45,306
46,
47,198
48,216
49,234
50,288
51,162
52,234
53,234
54,198
55,234
56,162
57,198
58,144
59,270
60,198
61,234
62,198
63,252
64,216
65,156
66,198
67,180
68,324
69,306
70,108
71,396
72,396
73,396
74,396
75,396
76,396
77,396
78,360
79,342
80,360
81,360
82,342
83,360
84,360
85,360
86,360
87,360
88,360
89,324
90,360
91,360
92,360
93,360
94,324
95,360
96,360
97,360
98,324
99,360
100,360
101,324
102,342
103,342
104,360
105,342
106,342
107,324
108,360
109,360
110,324
111,342
112,360
113,360
114,288
115,144
116,94
117,288
118,180
119,144
120,360
121,252
122,144
123,144
124,162
125,216
126,172
127,208
128,288
129,216
130,162
131,144
132,288
133,342
134,360
135,360
136,342
137,288
138,216
139,360
140,378
141,360
142,360
143,324
144,324
145,216
146,306
147,162
148,288
149,270
150,270
151,
152,270
153,342
154,360
155,198
156,324
157,342
158,378
159,378
160,378
161,
162,180
163,144
164,216
165,252
166,270
167,306
168,234
169,126
170,324
171,360
172,198
173,180
174,180
175,180
176,
177,
178,324
179,416
180,
181,
