row_index,dedicacion
0,TC
1,TC
2,TC
3,TC
4,TC
5,TC
6,TC
7,TC
8,TC
9,TC
10,TC
11,TC
12,TC
13,TC
14,TC
15,TC
16,TC
17,TC
18,TC
19,TC
20,TC
21,TC
22,TC
23,TC
24,TC
25,TP
26,TC
27,TC
28,TC
29,TC
30,TC
31,TP
32,TP
33,TP
34,TP
35,TP
36,TC
37,TC
38,TC
39,TC
40,TC
41,TC
42,TP
43,TC
44,TC
45,TC
46,TC
47,TC
48,TC
49,TC
50,TC
51,TC
52,TC
53,TC
54,TC
55,TC
56,TC
57,TC
58,TC
59,TC
60,TC
61,TC
62,TC
63,TC
64,TC
65,TC
66,TC
67,TC
68,TC
69,TC
70,TC
71,TC
72,TC
73,TC
74,TC
75,TC
76,TC
77,TC
78,TC
79,TC
80,TC
81,TC
82,TC
83,TC
84,TC
85,TC
86,TC
87,TC
88,TC
89,TC
90,TC
91,TC
92,TC
93,TC
94,TC
95,TC
96,TC
97,TC
98,TC
99,TC
100,TC
101,TC
102,TC
103,TC
104,TC
105,TC
106,TC
107,TC
108,TC
109,TC
110,TC
111,TC
112,TC
113,TC
114,TC
115,TC
116,TC
117,TC
118,TC
119,TC
120,TC
121,TC
122,TC
123,TC
124,TC
125,TC
126,TC
127,TC
128,TC
129,TC
130,TC
131,TC
132,TC
133,TC
134,TC
135,TC
136,TC
137,TC
138,TC
139,TC
140,TC
141,TC
142,TC
143,TC
144,TC
145,TC
146,TC
147,TC
148,TC
149,TC
150,TC
151,TC
152,TC
153,TC
154,TC
155,TC
156,TC
157,TC
158,TC
159,TC
160,TC
161,TC
162,TC
163,TC
164,TC
165,TC
166,TC
167,TC
168,TC
169,TP
170,TC
171,TC
172,TP
173,TP
174,TP
175,TP
176,TC
177,TP
178,TC
179,TC
180,
181,
