row_index,diseno_direccion_y_ejecucion_de_proyectos_de_investigacion_basica_aplicada_y_tecnologica_que_suponga_creacion_difusion_y_transferencia_de_los_resultados_obtenidos_los_proyectos_deberan_estar_registrados_o_aprobados_en_el_vicerrectorado_de_investigacion_y_proyeccion_social_segun_corresponda
0,144
1,
2,192
3,338
4,216
5,
6,
7,
8,30
9,192
10,240
11,
12,48
13,324
14,184
15,216
16,432
17,
18,254
19,600
20,24
21,16
22,72
23,288
24,
25,
26,48
27,344
28,96
29,
30,
31,
32,
33,32
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,432
44,240
45,
46,
47,440
48,292
49,136
50,
51,128
52,60
53,328
54,192
55,280
56,
57,
58,106
59,80
60,208
61,288
62,
63,96
64,316
65,384
66,272
67,416
68,72
69,
70,186
71,
72,
73,
74,
75,
76,
77,
78,96
79,144
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,220
117,210
118,40
119,125
120,
121,
122,90
123,392
124,
125,200
126,288
127,
128,
129,
130,288
131,384
132,
133,
134,
135,
136,150
137,
138,384
139,
140,
141,
142,
143,
144,
145,240
146,
147,360
148,120
149,
150,120
151,48
152,96
153,
154,72
155,168
156,
157,
158,
159,
160,
161,
162,40
163,46
164,100
165,40
166,
167,50
168,134
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
