row_index,estado
0,REVISION INICIAL
1,REVISION INICIAL
2,REVISION INICIAL
3,REVISION INICIAL
4,REVISION INICIAL
5,REVISION INICIAL
6,REVISION INICIAL
7,REVISION INICIAL
8,REVISION INICIAL
9,REVISION INICIAL
10,REVISION INICIAL
11,REVISION INICIAL
12,REVISION INICIAL
13,REVISION INICIAL
14,REVISION INICIAL
15,REVISION INICIAL
16,REVISION INICIAL
17,REVISION INICIAL
18,REVISION INICIAL
19,REVISION INICIAL
20,REVISION INICIAL
21,REVISION INICIAL
22,REVISION INICIAL
23,REVISION INICIAL
24,REVISION INICIAL
25,REVISION INICIAL
26,REVISION INICIAL
27,REVISION INICIAL
28,REVISION INICIAL
29,REVISION INICIAL
30,REVISION INICIAL
31,REVISION INICIAL
32,REVISION INICIAL
33,REVISION INICIAL
34,REVISION INICIAL
35,REVISION INICIAL
36,REVISION INICIAL
37,REVISION INICIAL
38,REVISION INICIAL
39,REVISION INICIAL
40,REVISION INICIAL
41,REVISION INICIAL
42,REVISION INICIAL
43,REVISION INICIAL
44,REVISION INICIAL
45,REVISION INICIAL
46,REVISION INICIAL
47,REVISION INICIAL
48,REVISION INICIAL
49,REVISION INICIAL
50,REVISION INICIAL
51,REVISION INICIAL
52,REVISION INICIAL
53,REVISION INICIAL
54,REVISION INICIAL
55,REVISION INICIAL
56,REVISION INICIAL
57,REVISION INICIAL
58,REVISION INICIAL
59,REVISION INICIAL
60,REVISION INICIAL
61,REVISION INICIAL
62,REVISION INICIAL
63,REVISION INICIAL
64,REVISION INICIAL
65,REVISION INICIAL
66,REVISION INICIAL
67,REVISION INICIAL
68,REVISION INICIAL
69,REVISION INICIAL
70,REVISION INICIAL
71,REVISION INICIAL
72,REVISION INICIAL
73,REVISION INICIAL
74,REVISION INICIAL
75,REVISION INICIAL
76,REVISION INICIAL
77,REVISION INICIAL
78,REVISION INICIAL
79,REVISION INICIAL
80,REVISION INICIAL
81,REVISION INICIAL
82,REVISION INICIAL
83,REVISION INICIAL
84,REVISION INICIAL
85,REVISION INICIAL
86,REVISION INICIAL
87,REVISION INICIAL
88,REVISION INICIAL
89,REVISION INICIAL
90,REVISION INICIAL
91,REVISION INICIAL
92,REVISION INICIAL
93,REVISION INICIAL
94,REVISION INICIAL
95,REVISION INICIAL
96,REVISION INICIAL
97,REVISION INICIAL
98,REVISION INICIAL
99,REVISION INICIAL
100,REVISION INICIAL
101,REVISION INICIAL
102,REVISION INICIAL
103,REVISION INICIAL
104,REVISION INICIAL
105,REVISION INICIAL
106,REVISION INICIAL
107,REVISION INICIAL
108,REVISION INICIAL
109,REVISION INICIAL
110,REVISION INICIAL
111,REVISION INICIAL
112,REVISION INICIAL
113,REVISION INICIAL
114,REVISION INICIAL
115,REVISION INICIAL
116,REVISION INICIAL
117,REVISION INICIAL
118,REVISION INICIAL
119,REVISION INICIAL
120,REVISION INICIAL
121,REVISION INICIAL
122,REVISION INICIAL
123,REVISION INICIAL
124,REVISION INICIAL
125,REVISION INICIAL
126,REVISION INICIAL
127,REVISION INICIAL
128,REVISION INICIAL
129,REVISION INICIAL
130,REVISION INICIAL
131,REVISION INICIAL
132,REVISION INICIAL
133,REVISION INICIAL
134,REVISION INICIAL
135,REVISION INICIAL
136,REVISION INICIAL
137,REVISION INICIAL
138,REVISION INICIAL
139,REVISION INICIAL
140,REVISION INICIAL
141,REVISION INICIAL
142,REVISION INICIAL
143,REVISION INICIAL
144,REVISION INICIAL
145,REVISION INICIAL
146,REVISION INICIAL
147,REVISION INICIAL
148,REVISION INICIAL
149,REVISION INICIAL
150,REVISION INICIAL
151,REVISION INICIAL
152,REVISION INICIAL
153,REVISION INICIAL
154,REVISION INICIAL
155,REVISION INICIAL
156,REVISION INICIAL
157,REVISION INICIAL
158,REVISION INICIAL
159,REVISION INICIAL
160,REVISION INICIAL
161,REVISION INICIAL
162,PLANIFICADO INICIAL
163,PLANIFICADO INICIAL
164,PLANIFICADO INICIAL
165,PLANIFICADO INICIAL
166,REVISION INICIAL
167,PLANIFICADO INICIAL
168,PLANIFICADO INICIAL
169,PLANIFICADO INICIAL
170,REVISION INICIAL
171,REVISION INICIAL
172,REVISION INICIAL
173,REVISION INICIAL
174,REVISION INICIAL
175,REVISION INICIAL
176,REVISION INICIAL
177,PLANIFICADO INICIAL
178,REVISION INICIAL
179,REVISION INICIAL
180,
181,
