row_index,otras_actividades_de_gestion_relacionadas_con_los_procesos_academicos_misionales_de_la_institucion
0,48
1,
2,
3,
4,
5,6
6,48
7,135
8,40
9,
10,
11,126
12,
13,
14,40
15,
16,
17,120
18,
19,
20,48
21,48
22,68
23,
24,115
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,80
46,
47,48
48,
49,120
50,144
51,96
52,139
53,48
54,104
55,96
56,96
57,40
58,
59,192
60,144
61,78
62,192
63,200
64,48
65,
66,144
67,96
68,32
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,80
114,54
115,
116,
117,25
118,220
119,
120,60
121,160
122,
123,
124,100
125,
126,
127,
128,
129,120
130,96
131,
132,280
133,
134,
135,
136,
137,
138,100
139,
140,20
141,
142,
143,
144,
145,
146,
147,48
148,72
149,24
150,72
151,
152,72
153,72
154,24
155,48
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,104
167,31
168,82
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,94
179,
180,
181,
