row_index,otras_actividades_df
0,12
1,
2,8
3,
4,49
5,85
6,
7,
8,9
9,48
10,104
11,52
12,5
13,
14,
15,
16,
17,
18,
19,
20,2
21,12
22,9
23,
24,75
25,8
26,9
27,
28,39
29,64
30,48
31,
32,
33,
34,
35,
36,173
37,254
38,222
39,192
40,240
41,208
42,
43,
44,4
45,4
46,
47,4
48,4
49,4
50,4
51,4
52,6
53,4
54,4
55,4
56,24
57,4
58,14
59,36
60,4
61,4
62,4
63,4
64,4
65,
66,4
67,4
68,4
69,4
70,
71,250
72,210
73,210
74,210
75,210
76,210
77,52
78,
79,36
80,
81,
82,116
83,40
84,104
85,40
86,80
87,80
88,80
89,132
90,80
91,40
92,80
93,108
94,172
95,100
96,80
97,80
98,164
99,64
100,80
101,200
102,96
103,96
104,80
105,128
106,96
107,132
108,
109,124
110,136
111,144
112,112
113,
114,
115,
116,
117,12
118,
119,4
120,
121,
122,4
123,
124,4
125,
126,
127,4
128,
129,7
130,
131,
132,10
133,25
134,24
135,25
136,
137,68
138,
139,25
140,49
141,25
142,20
143,25
144,94
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,800
162,
163,
164,
165,
166,
167,
168,
169,
170,231
171,112
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
