row_index,tipo
0,TITULAR
1,TITULAR
2,TITULAR
3,TITULAR
4,TITULAR
5,TITULAR
6,TITULAR
7,TITULAR
8,TITULAR
9,TITULAR
10,TITULAR
11,TITULAR
12,TITULAR
13,TITULAR
14,TITULAR
15,TITULAR
16,TITULAR
17,TITULAR
18,TITULAR
19,TITULAR
20,TITULAR
21,TITULAR
22,TITULAR
23,TITULAR
24,TITULAR
25,TITULAR
26,OCASIONAL
27,OCASIONAL
28,OCASIONAL
29,OCASIONAL
30,OCASIONAL
31,OCASIONAL
32,OCASIONAL
33,OCASIONAL
34,OCASIONAL
35,OCASIONAL
36,TÉCNICO DOCENTE POLITÉCNICO
37,TÉCNICO DOCENTE POLITÉCNICO
38,TÉCNICO DOCENTE POLITÉCNICO
39,TÉCNICO DOCENTE POLITÉCNICO
40,TÉCNICO DOCENTE POLITÉCNICO
41,TÉCNICO DOCENTE POLITÉCNICO
42,PROFESOR HONORARIO A TIEMPO PARCIAL - CONTRATO CIVIL DE PRESTACION DE SERVICIOS PROFESIONALES
43,TÉCNICO DE INVESTIGACIÓN
44,TITULAR
45,TITULAR
46,TITULAR
47,TITULAR
48,TITULAR
49,TITULAR
50,TITULAR
51,TITULAR
52,TITULAR
53,TITULAR
54,TITULAR
55,TITULAR
56,TITULAR
57,TITULAR
58,TITULAR
59,TITULAR
60,TITULAR
61,TITULAR
62,TITULAR
63,TITULAR
64,TITULAR
65,TITULAR
66,TITULAR
67,TITULAR
68,TITULAR
69,TITULAR
70,TITULAR
71,TÉCNICO DOCENTE POLITÉCNICO
72,TÉCNICO DOCENTE POLITÉCNICO
73,TÉCNICO DOCENTE POLITÉCNICO
74,TÉCNICO DOCENTE POLITÉCNICO
75,TÉCNICO DOCENTE POLITÉCNICO
76,TÉCNICO DOCENTE POLITÉCNICO
77,TÉCNICO DOCENTE POLITÉCNICO
78,OCASIONAL
79,OCASIONAL
80,OCASIONAL
81,OCASIONAL
82,TÉCNICO DOCENTE POLITÉCNICO
83,TÉCNICO DOCENTE POLITÉCNICO
84,TÉCNICO DOCENTE POLITÉCNICO
85,TÉCNICO DOCENTE POLITÉCNICO
86,TÉCNICO DOCENTE POLITÉCNICO
87,TÉCNICO DOCENTE POLITÉCNICO
88,TÉCNICO DOCENTE POLITÉCNICO
89,TÉCNICO DOCENTE POLITÉCNICO
90,TÉCNICO DOCENTE POLITÉCNICO
91,TÉCNICO DOCENTE POLITÉCNICO
92,TÉCNICO DOCENTE POLITÉCNICO
93,TÉCNICO DOCENTE POLITÉCNICO
94,TÉCNICO DOCENTE POLITÉCNICO
95,TÉCNICO DOCENTE POLITÉCNICO
96,TÉCNICO DOCENTE POLITÉCNICO
97,TÉCNICO DOCENTE POLITÉCNICO
98,TÉCNICO DOCENTE POLITÉCNICO
99,TÉCNICO DOCENTE POLITÉCNICO
100,TÉCNICO DOCENTE POLITÉCNICO
101,TÉCNICO DOCENTE POLITÉCNICO
102,TÉCNICO DOCENTE POLITÉCNICO
103,TÉCNICO DOCENTE POLITÉCNICO
104,TÉCNICO DOCENTE POLITÉCNICO
105,TÉCNICO DOCENTE POLITÉCNICO
106,TÉCNICO DOCENTE POLITÉCNICO
107,TÉCNICO DOCENTE POLITÉCNICO
108,TÉCNICO DOCENTE POLITÉCNICO
109,TÉCNICO DOCENTE POLITÉCNICO
110,TÉCNICO DOCENTE POLITÉCNICO
111,TÉCNICO DOCENTE POLITÉCNICO
112,TÉCNICO DOCENTE POLITÉCNICO
113,TITULAR
114,TITULAR
115,TITULAR
116,TITULAR
117,TITULAR
118,TITULAR
119,TITULAR
120,TITULAR
121,TITULAR
122,TITULAR
123,TITULAR
124,TITULAR
125,TITULAR
126,TITULAR
127,TITULAR
128,TITULAR
129,TITULAR
130,TITULAR
131,TITULAR
132,TITULAR
133,OCASIONAL
134,OCASIONAL
135,OCASIONAL
136,OCASIONAL
137,OCASIONAL
138,OCASIONAL
139,OCASIONAL
140,OCASIONAL
141,OCASIONAL
142,OCASIONAL
143,OCASIONAL
144,OCASIONAL
145,TITULAR
146,TITULAR
147,TITULAR
148,TITULAR
149,TITULAR
150,TITULAR
151,TITULAR
152,TITULAR
153,OCASIONAL
154,OCASIONAL
155,OCASIONAL
156,OCASIONAL
157,OCASIONAL
158,TÉCNICO DOCENTE POLITÉCNICO
159,TÉCNICO DOCENTE POLITÉCNICO
160,TÉCNICO DOCENTE POLITÉCNICO
161,TÉCNICO DE LABORATORIO
162,TITULAR
163,TITULAR
164,TITULAR
165,TITULAR
166,TITULAR
167,TITULAR
168,TITULAR
169,TITULAR
170,TÉCNICO DOCENTE POLITÉCNICO
171,TÉCNICO DOCENTE POLITÉCNICO
172,TÉCNICO DOCENTE POLITÉCNICO
173,OCASIONAL
174,OCASIONAL
175,OCASIONAL
176,TITULAR
177,INVITADO
178,OCASIONAL
179,TÉCNICO DOCENTE POLITÉCNICO
180,
181,
