row_index,total_horas_actividades_de_docencia
0,696
1,468
2,392
3,396
4,589
5,774
6,625
7,625
8,555
9,678
10,696
11,718
12,372
13,381
14,512
15,329
16,357
17,532
18,586
19,296
20,608
21,628
22,510
23,642
24,531
25,464
26,648
27,528
28,716
29,788
30,788
31,144
32,136
33,144
34,136
35,144
36,896
37,936
38,896
39,856
40,896
41,896
42,361
43,
44,392
45,704
46,
47,400
48,476
49,472
50,624
51,328
52,601
53,472
54,400
55,472
56,408
57,527
58,302
59,600
60,400
61,506
62,416
63,508
64,436
65,312
66,400
67,364
68,664
69,743
70,246
71,936
72,936
73,896
74,936
75,896
76,896
77,776
78,800
79,792
80,776
81,776
82,848
83,808
84,872
85,808
86,872
87,848
88,848
89,848
90,872
91,808
92,848
93,896
94,888
95,888
96,848
97,864
98,880
99,832
100,848
101,848
102,848
103,848
104,872
105,880
106,848
107,848
108,696
109,912
110,832
111,840
112,880
113,720
114,666
115,353
116,188
117,588
118,390
119,292
120,720
121,504
122,292
123,396
124,328
125,432
126,344
127,420
128,576
129,536
130,364
131,288
132,586
133,836
134,841
135,872
136,698
137,756
138,432
139,857
140,821
141,731
142,867
143,770
144,855
145,452
146,672
147,324
148,632
149,624
150,584
151,
152,564
153,752
154,788
155,446
156,744
157,752
158,816
159,803
160,782
161,896
162,360
163,288
164,432
165,504
166,667
167,684
168,446
169,324
170,976
171,928
172,464
173,338
174,338
175,338
176,
177,48
178,738
179,928
180,
181,
