row_index,total_horas_actividades_de_docencia_dentro_del_1_1
0,684
1,468
2,324
3,396
4,432
5,540
6,625
7,540
8,360
9,540
10,432
11,576
12,312
13,336
14,432
15,284
16,252
17,502
18,536
19,296
20,504
21,564
22,432
23,612
24,396
25,360
26,576
27,528
28,648
29,668
30,716
31,144
32,136
33,144
34,136
35,144
36,663
37,634
38,634
39,664
40,656
41,688
42,361
43,
44,324
45,612
46,
47,396
48,432
49,468
50,576
51,324
52,468
53,468
54,396
55,468
56,324
57,396
58,288
59,540
60,396
61,468
62,396
63,504
64,432
65,312
66,396
67,360
68,630
69,612
70,216
71,666
72,706
73,666
74,706
75,666
76,666
77,724
78,720
79,684
80,720
81,720
82,684
83,720
84,720
85,720
86,720
87,720
88,720
89,648
90,720
91,720
92,720
93,720
94,648
95,720
96,720
97,720
98,648
99,720
100,720
101,648
102,684
103,684
104,720
105,684
106,684
107,648
108,696
109,720
110,648
111,648
112,720
113,720
114,576
115,288
116,188
117,576
118,360
119,288
120,720
121,504
122,288
123,288
124,324
125,432
126,344
127,416
128,576
129,432
130,324
131,288
132,576
133,684
134,720
135,720
136,646
137,576
138,432
139,720
140,756
141,706
142,720
143,648
144,648
145,432
146,612
147,324
148,576
149,540
150,540
151,
152,540
153,684
154,720
155,396
156,648
157,684
158,719
159,706
160,709
161,
162,360
163,288
164,432
165,504
166,540
167,574
168,446
169,252
170,648
171,720
172,396
173,338
174,338
175,338
176,
177,
178,648
179,796
180,
181,
