row_index,total_horas_actividades_de_docencia_fuera_del_1_1
0,12
1,
2,68
3,
4,157
5,234
6,
7,85
8,195
9,138
10,264
11,142
12,60
13,45
14,80
15,45
16,105
17,30
18,50
19,
20,104
21,64
22,78
23,30
24,135
25,104
26,72
27,
28,68
29,120
30,72
31,
32,
33,
34,
35,
36,233
37,302
38,262
39,192
40,240
41,208
42,
43,
44,68
45,92
46,
47,4
48,44
49,4
50,48
51,4
52,133
53,4
54,4
55,4
56,84
57,131
58,14
59,60
60,4
61,38
62,20
63,4
64,4
65,
66,4
67,4
68,34
69,131
70,30
71,270
72,230
73,230
74,230
75,230
76,230
77,52
78,80
79,108
80,56
81,56
82,164
83,88
84,152
85,88
86,152
87,128
88,128
89,200
90,152
91,88
92,128
93,176
94,240
95,168
96,128
97,144
98,232
99,112
100,128
101,200
102,164
103,164
104,152
105,196
106,164
107,200
108,
109,192
110,184
111,192
112,160
113,
114,90
115,65
116,
117,12
118,30
119,4
120,
121,
122,4
123,108
124,4
125,
126,
127,4
128,
129,104
130,40
131,
132,10
133,152
134,121
135,152
136,52
137,180
138,
139,137
140,65
141,25
142,147
143,122
144,207
145,20
146,60
147,
148,56
149,84
150,44
151,
152,24
153,68
154,68
155,50
156,96
157,68
158,97
159,97
160,73
161,896
162,
163,
164,
165,
166,127
167,110
168,
169,72
170,328
171,208
172,68
173,
174,
175,
176,
177,48
178,90
179,132
180,
181,
