row_index,total_horas_actividades_de_gestion
0,96
1,388
2,312
3,
4,
5,162
6,72
7,231
8,40
9,48
10,
11,126
12,244
13,191
14,240
15,248
16,147
17,286
18,96
19,40
20,96
21,48
22,164
23,0
24,207
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,304
45,152
46,920
47,96
48,
49,168
50,192
51,480
52,187
53,96
54,224
55,144
56,480
57,88
58,480
59,216
60,144
61,126
62,192
63,200
64,160
65,144
66,264
67,144
68,80
69,113
70,480
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,80
114,54
115,520
116,520
117,45
118,220
119,246
120,208
121,160
122,274
123,148
124,384
125,256
126,140
127,
128,320
129,216
130,292
131,50
132,342
133,
134,
135,
136,
137,
138,100
139,
140,20
141,197
142,
143,
144,
145,108
146,128
147,100
148,144
149,120
150,168
151,96
152,120
153,96
154,24
155,48
156,24
157,
158,
159,
160,
161,
162,528
163,600
164,380
165,384
166,156
167,163
168,186
169,
170,
171,
172,
173,
174,
175,
176,976
177,
178,94
179,
180,
181,
