row_index,total_horas_d_i_g_p_v
0,976
1,976
2,976
3,976
4,976
5,976
6,976
7,976
8,976
9,976
10,976
11,976
12,976
13,976
14,976
15,976
16,976
17,976
18,976
19,976
20,976
21,976
22,976
23,970
24,926
25,464
26,976
27,976
28,976
29,976
30,976
31,464
32,464
33,464
34,464
35,464
36,976
37,976
38,976
39,976
40,976
41,976
42,361
43,976
44,976
45,976
46,976
47,976
48,976
49,976
50,976
51,976
52,976
53,976
54,976
55,976
56,976
57,976
58,976
59,976
60,976
61,976
62,976
63,976
64,976
65,976
66,976
67,976
68,976
69,976
70,976
71,976
72,976
73,976
74,976
75,976
76,976
77,816
78,976
79,976
80,816
81,816
82,976
83,976
84,976
85,976
86,976
87,976
88,976
89,976
90,976
91,976
92,976
93,976
94,976
95,976
96,976
97,976
98,976
99,976
100,976
101,976
102,976
103,976
104,976
105,976
106,976
107,976
108,976
109,976
110,976
111,976
112,976
113,976
114,976
115,976
116,976
117,976
118,976
119,976
120,976
121,976
122,976
123,976
124,976
125,976
126,976
127,976
128,976
129,976
130,976
131,976
132,976
133,976
134,976
135,976
136,976
137,976
138,976
139,976
140,976
141,976
142,976
143,976
144,974
145,976
146,976
147,976
148,976
149,976
150,976
151,976
152,976
153,976
154,976
155,976
156,976
157,816
158,976
159,976
160,976
161,976
162,976
163,976
164,976
165,976
166,976
167,961
168,926
169,464
170,976
171,976
172,464
173,361
174,361
175,361
176,976
177,48
178,976
179,976
180,
181,
