row_index,total_horas_vacaciones_y_permisos
0,40
1,120
2,80
3,120
4,103
5,40
6,40
7,120
8,40
9,58
10,40
11,120
12,40
13,80
14,40
15,40
16,40
17,40
18,40
19,40
20,160
21,40
22,120
23,40
24,40
25,
26,80
27,40
28,64
29,40
30,40
31,40
32,40
33,40
34,40
35,40
36,80
37,40
38,80
39,120
40,80
41,80
42,
43,
44,40
45,120
46,56
47,40
48,160
49,200
50,160
51,40
52,80
53,80
54,40
55,80
56,40
57,40
58,40
59,80
60,80
61,56
62,80
63,80
64,40
65,40
66,40
67,40
68,160
69,120
70,64
71,40
72,40
73,80
74,40
75,80
76,80
77,40
78,80
79,40
80,40
81,40
82,128
83,168
84,104
85,168
86,104
87,128
88,128
89,128
90,104
91,168
92,128
93,80
94,88
95,88
96,128
97,112
98,96
99,144
100,128
101,128
102,128
103,128
104,104
105,96
106,128
107,128
108,280
109,64
110,144
111,136
112,96
113,128
114,208
115,88
116,48
117,128
118,104
119,16
120,48
121,120
122,40
123,40
124,40
125,88
126,80
127,144
128,80
129,120
130,32
131,
132,48
133,128
134,120
135,104
136,128
137,80
138,48
139,119
140,120
141,48
142,94
143,128
144,104
145,40
146,176
147,0
148,80
149,64
150,80
151,832
152,120
153,32
154,80
155,314
156,112
157,40
158,160
159,173
160,170
161,80
162,48
163,42
164,64
165,48
166,64
167,64
168,160
169,22
170,
171,48
172,
173,23
174,23
175,23
176,
177,
178,96
179,48
180,
181,
